external_id	study
GTEX-13FHO-2026-SM-5J1OA.1	ADIPOSE_TISSUE
GTEX-REY6-0326-SM-2TF5A.1	ADIPOSE_TISSUE
GTEX-QLQ7-1526-SM-2S1QA.1	ADIPOSE_TISSUE
GTEX-UJHI-1626-SM-3DB9A.1	ADIPOSE_TISSUE
GTEX-RWSA-0226-SM-2XCBA.1	ADIPOSE_TISSUE
GTEX-14753-0326-SM-5QGQB.1	ADIPOSE_TISSUE
GTEX-13PVR-0526-SM-5S2OB.1	ADIPOSE_TISSUE
GTEX-XQ3S-2426-SM-4WAYB.1	ADIPOSE_TISSUE
GTEX-1399U-2426-SM-5K7XB.1	ADIPOSE_TISSUE
GTEX-139YR-2426-SM-5J1OB.1	ADIPOSE_TISSUE
GTEX-QEG5-0326-SM-2S1PB.1	ADIPOSE_TISSUE
GTEX-UPK5-1826-SM-3GAEB.1	ADIPOSE_TISSUE
GTEX-11LCK-1126-SM-5A5KC.1	ADIPOSE_TISSUE
GTEX-11TTK-0226-SM-5N9EC.1	ADIPOSE_TISSUE
GTEX-13X6I-1526-SM-5SIAC.1	ADIPOSE_TISSUE
GTEX-12KS4-0426-SM-5EQMC.1	ADIPOSE_TISSUE
GTEX-YEC3-0926-SM-5Q5AC.1	ADIPOSE_TISSUE
GTEX-ZF3C-1026-SM-5S2OC.1	ADIPOSE_TISSUE
GTEX-VJYA-1326-SM-3GIJC.1	ADIPOSE_TISSUE
GTEX-PX3G-0226-SM-3NB2C.1	ADIPOSE_TISSUE
GTEX-13FHP-0226-SM-5K7WD.1	ADIPOSE_TISSUE
GTEX-ZAB5-1126-SM-5Q5AD.1	ADIPOSE_TISSUE
GTEX-ZVT4-0226-SM-51MSD.1	ADIPOSE_TISSUE
GTEX-ZVP2-0226-SM-57WBD.1	ADIPOSE_TISSUE
GTEX-13OW8-1226-SM-5K7XD.1	ADIPOSE_TISSUE
GTEX-11ZTS-0226-SM-5EQKD.1	ADIPOSE_TISSUE
GTEX-11GS4-2626-SM-5A5LD.1	ADIPOSE_TISSUE
GTEX-T5JC-0526-SM-5S2SD.1	ADIPOSE_TISSUE
GTEX-T6MN-0226-SM-32PMD.1	ADIPOSE_TISSUE
GTEX-UTHO-0426-SM-3GAED.1	ADIPOSE_TISSUE
GTEX-S7SF-1826-SM-3K2AD.1	ADIPOSE_TISSUE
GTEX-T8EM-1126-SM-3DB7D.1	ADIPOSE_TISSUE
GTEX-WFG8-2326-SM-5S2UE.1	ADIPOSE_TISSUE
GTEX-1313W-1626-SM-5J1OE.1	ADIPOSE_TISSUE
GTEX-ZF28-0226-SM-5S2OE.1	ADIPOSE_TISSUE
GTEX-145LV-1026-SM-5O9AE.1	ADIPOSE_TISSUE
GTEX-13VXU-1026-SM-5KLZE.1	ADIPOSE_TISSUE
GTEX-YECK-1426-SM-5IFHE.1	ADIPOSE_TISSUE
GTEX-132AR-0226-SM-5IJBE.1	ADIPOSE_TISSUE
GTEX-12KS4-1526-SM-5EQ6E.1	ADIPOSE_TISSUE
GTEX-QV31-1326-SM-2S1QE.1	ADIPOSE_TISSUE
GTEX-RTLS-0226-SM-2TF5E.1	ADIPOSE_TISSUE
GTEX-13NZB-2426-SM-5K7UF.1	ADIPOSE_TISSUE
GTEX-11DZ1-0226-SM-5A5KF.1	ADIPOSE_TISSUE
GTEX-14E1K-0426-SM-5S2PF.1	ADIPOSE_TISSUE
GTEX-ZV68-0226-SM-59HJF.1	ADIPOSE_TISSUE
GTEX-1339X-0726-SM-5L3FF.1	ADIPOSE_TISSUE
GTEX-OOBK-0226-SM-2YUMF.1	ADIPOSE_TISSUE
GTEX-U4B1-1726-SM-3DB9F.1	ADIPOSE_TISSUE
GTEX-TMMY-0326-SM-33HBF.1	ADIPOSE_TISSUE
GTEX-ZYVF-0226-SM-5GIEG.1	ADIPOSE_TISSUE
GTEX-13S7M-0226-SM-5S2UG.1	ADIPOSE_TISSUE
GTEX-ZF28-1426-SM-5S2OG.1	ADIPOSE_TISSUE
GTEX-13PVQ-0226-SM-5SIBG.1	ADIPOSE_TISSUE
GTEX-139T4-0126-SM-5HL5G.1	ADIPOSE_TISSUE
GTEX-131XF-2226-SM-5EQKG.1	ADIPOSE_TISSUE
GTEX-13O3Q-2326-SM-5KM3G.1	ADIPOSE_TISSUE
GTEX-QMRM-1726-SM-2S1QG.1	ADIPOSE_TISSUE
GTEX-1399T-1326-SM-5PNVH.1	ADIPOSE_TISSUE
GTEX-ZE7O-1526-SM-5J1NH.1	ADIPOSE_TISSUE
GTEX-11P81-0726-SM-5PNYH.1	ADIPOSE_TISSUE
GTEX-14C39-2526-SM-5S2UH.1	ADIPOSE_TISSUE
GTEX-13FHO-0326-SM-5IJBH.1	ADIPOSE_TISSUE
GTEX-13X6H-1726-SM-5Q5EH.1	ADIPOSE_TISSUE
GTEX-131YS-0226-SM-5IJEH.1	ADIPOSE_TISSUE
GTEX-13NZA-0126-SM-5K7UH.1	ADIPOSE_TISSUE
GTEX-OIZH-0226-SM-2YUMH.1	ADIPOSE_TISSUE
GTEX-W5X1-1426-SM-3GIKH.1	ADIPOSE_TISSUE
GTEX-T2IS-0226-SM-32QPH.1	ADIPOSE_TISSUE
GTEX-146FH-2026-SM-5SI9I.1	ADIPOSE_TISSUE
GTEX-12WSA-0326-SM-5BC6I.1	ADIPOSE_TISSUE
GTEX-13O21-3126-SM-5J1OI.1	ADIPOSE_TISSUE
GTEX-11EQ9-1126-SM-5987I.1	ADIPOSE_TISSUE
GTEX-13O3P-0926-SM-5IFFI.1	ADIPOSE_TISSUE
GTEX-ZXG5-0226-SM-59HJI.1	ADIPOSE_TISSUE
GTEX-ZTX8-1526-SM-5N9GI.1	ADIPOSE_TISSUE
GTEX-1192X-1526-SM-5H11I.1	ADIPOSE_TISSUE
GTEX-R55G-2426-SM-2TC5I.1	ADIPOSE_TISSUE
GTEX-U412-0526-SM-3DB9I.1	ADIPOSE_TISSUE
GTEX-ZDXO-2426-SM-5S2NJ.1	ADIPOSE_TISSUE
GTEX-OXRN-0226-SM-2I5EJ.1	ADIPOSE_TISSUE
GTEX-S3XE-1626-SM-3K2AJ.1	ADIPOSE_TISSUE
GTEX-ZEX8-1226-SM-5S2OK.1	ADIPOSE_TISSUE
GTEX-1399T-2726-SM-5K7XK.1	ADIPOSE_TISSUE
GTEX-12WSM-0626-SM-5GCOK.1	ADIPOSE_TISSUE
GTEX-ZXG5-1626-SM-59HJK.1	ADIPOSE_TISSUE
GTEX-13O3Q-1126-SM-5K7YK.1	ADIPOSE_TISSUE
GTEX-13VXT-0926-SM-5LU5K.1	ADIPOSE_TISSUE
GTEX-ZTSS-2026-SM-5987K.1	ADIPOSE_TISSUE
GTEX-P4PQ-0226-SM-2S1NK.1	ADIPOSE_TISSUE
GTEX-SNMC-1326-SM-2XCFK.1	ADIPOSE_TISSUE
GTEX-S95S-1326-SM-2XCDK.1	ADIPOSE_TISSUE
GTEX-ZC5H-0126-SM-4WAYL.1	ADIPOSE_TISSUE
GTEX-147GR-0426-SM-5S2OL.1	ADIPOSE_TISSUE
GTEX-13CF3-2326-SM-5IFGL.1	ADIPOSE_TISSUE
GTEX-13OVJ-0326-SM-5L3GL.1	ADIPOSE_TISSUE
GTEX-13FH7-1926-SM-5J2OL.1	ADIPOSE_TISSUE
GTEX-11UD1-0226-SM-5EQKL.1	ADIPOSE_TISSUE
GTEX-XLM4-0226-SM-5S2TL.1	ADIPOSE_TISSUE
GTEX-Q734-1826-SM-2I3EL.1	ADIPOSE_TISSUE
GTEX-WFJO-1026-SM-3GIKL.1	ADIPOSE_TISSUE
GTEX-Y8E5-0226-SM-57WCM.1	ADIPOSE_TISSUE
GTEX-12WSI-1526-SM-5GCNM.1	ADIPOSE_TISSUE
GTEX-ZYW4-0226-SM-5E44M.1	ADIPOSE_TISSUE
GTEX-ZPU1-2426-SM-4WWFM.1	ADIPOSE_TISSUE
GTEX-139TU-0226-SM-5J1NM.1	ADIPOSE_TISSUE
GTEX-13N1W-1226-SM-5K7UM.1	ADIPOSE_TISSUE
GTEX-ZPIC-0726-SM-57WFM.1	ADIPOSE_TISSUE
GTEX-12584-2126-SM-5FQUM.1	ADIPOSE_TISSUE
GTEX-ZDTT-0526-SM-5HL4M.1	ADIPOSE_TISSUE
GTEX-Y8E4-1226-SM-5IFIM.1	ADIPOSE_TISSUE
GTEX-Y3IK-2526-SM-4WWDM.1	ADIPOSE_TISSUE
GTEX-OOBJ-0226-SM-2YUMM.1	ADIPOSE_TISSUE
GTEX-13RTK-0726-SM-5Q5EN.1	ADIPOSE_TISSUE
GTEX-Y8E4-0726-SM-4WWFN.1	ADIPOSE_TISSUE
GTEX-XBEC-1826-SM-4QASN.1	ADIPOSE_TISSUE
GTEX-ZTSS-1026-SM-5985N.1	ADIPOSE_TISSUE
GTEX-13PVR-2426-SM-5RQHN.1	ADIPOSE_TISSUE
GTEX-XQ3S-1626-SM-4WAYN.1	ADIPOSE_TISSUE
GTEX-P4PP-0226-SM-2S1NN.1	ADIPOSE_TISSUE
GTEX-VUSG-1426-SM-3GIJN.1	ADIPOSE_TISSUE
GTEX-TMZS-0226-SM-3DB9N.1	ADIPOSE_TISSUE
GTEX-T5JW-1726-SM-3GADN.1	ADIPOSE_TISSUE
GTEX-SSA3-0226-SM-32QPN.1	ADIPOSE_TISSUE
GTEX-ZE9C-2826-SM-5S2MO.1	ADIPOSE_TISSUE
GTEX-14DAQ-2526-SM-5RQIO.1	ADIPOSE_TISSUE
GTEX-ZF2S-1526-SM-5S2OO.1	ADIPOSE_TISSUE
GTEX-14C5O-0226-SM-5SI6O.1	ADIPOSE_TISSUE
GTEX-YEC4-2426-SM-57WFO.1	ADIPOSE_TISSUE
GTEX-Y3I4-2226-SM-4TT7O.1	ADIPOSE_TISSUE
GTEX-ZG7Y-1626-SM-5S2NO.1	ADIPOSE_TISSUE
GTEX-ZLWG-2226-SM-5DUWO.1	ADIPOSE_TISSUE
GTEX-ZZPU-2726-SM-5NQ8O.1	ADIPOSE_TISSUE
GTEX-13OVI-1326-SM-5IJBO.1	ADIPOSE_TISSUE
GTEX-144GN-0726-SM-5O98O.1	ADIPOSE_TISSUE
GTEX-T6MN-0226-SM-5S2SO.1	ADIPOSE_TISSUE
GTEX-POYW-0726-SM-2XCEO.1	ADIPOSE_TISSUE
GTEX-ZF29-0826-SM-5S2NP.1	ADIPOSE_TISSUE
GTEX-ZVT2-2226-SM-5NQ6P.1	ADIPOSE_TISSUE
GTEX-12BJ1-0826-SM-5EQ5P.1	ADIPOSE_TISSUE
GTEX-ZDTT-2626-SM-5S2OP.1	ADIPOSE_TISSUE
GTEX-145LT-1526-SM-5O98P.1	ADIPOSE_TISSUE
GTEX-12126-0426-SM-5Q5AP.1	ADIPOSE_TISSUE
GTEX-147JS-1026-SM-5S2MP.1	ADIPOSE_TISSUE
GTEX-TML8-2026-SM-32QOP.1	ADIPOSE_TISSUE
GTEX-S4UY-0226-SM-3K2AP.1	ADIPOSE_TISSUE
GTEX-145MF-1026-SM-5Q5EQ.1	ADIPOSE_TISSUE
GTEX-YFCO-2026-SM-4W21Q.1	ADIPOSE_TISSUE
GTEX-QEG4-0326-SM-5S2UQ.1	ADIPOSE_TISSUE
GTEX-13JUV-0626-SM-5J1MQ.1	ADIPOSE_TISSUE
GTEX-1399S-1426-SM-5PNYQ.1	ADIPOSE_TISSUE
GTEX-133LE-0926-SM-5P9J1.1	ADIPOSE_TISSUE
GTEX-11XUK-1726-SM-5GU61.1	ADIPOSE_TISSUE
GTEX-131XE-2026-SM-5LZW1.1	ADIPOSE_TISSUE
GTEX-ZAJG-0226-SM-5HL81.1	ADIPOSE_TISSUE
